Product Name1,SKU,Product Name2,Image URLs,Product Information,product_features,Specifications,Downloads,URL
Bernard Style Tip Holder Suit 200/300 Series,WS4335R/R,,https://www.cigweld.com.au/wp-content/uploads/2018/02/ProdPhoto_1568_lg_Tweco-Binzel-Tip-Holder.jpg.png,"<div class=""typography"">
	<p>Bernard Style Tip Holder Suit 200/300 Series (Suits Short 74 Series Tips)</p>
</div>",,,,https://www.cigweld.com.au/product/bernard-style-tip-holder-suit-200-300-series-2/
Bernard Style Tip Holder Suit 200/300 Series,WS4235R/R,,https://www.cigweld.com.au/wp-content/uploads/2018/02/ProdPhoto_1567_lg_Tweco-Binzel-Tip-Holder.jpg.png,"<div class=""typography"">
	<p>Bernard Style Tip Holder Suit 200/300 Series (Suit long 15 Series Tips)</p>
</div>",,,,https://www.cigweld.com.au/product/bernard-style-tip-holder-suit-200-300-series/
Brumby 180,717579,,"https://www.cigweld.com.au/wp-content/uploads/2018/02/brumbytorch.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/EliminatorTorch-1.jpg","<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/brumby-180/
Heavy Duty Twistlock Electrode Holder – 400A,646142,,"https://www.cigweld.com.au/wp-content/uploads/2018/02/646142.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/ProdPhoto_2_lg_646142.JPG.png","<div class=""typography"">
	<ul>
<li>Electrode capacity up to 5mm</li>
<li>Duty Cycle: 400A@35%; 300A@60%</li>
<li>Fully insulated</li>
<li>High quality</li>
<li>Durable</li>
<li>Complies to AS60974.11, Type A requirements</li>
</ul>
</div>",,,,https://www.cigweld.com.au/product/twistlock-electrode-holder-400-amp/
WeldSkill 180 AC/DC Power Pack,PP.WS180T23,,"https://www.cigweld.com.au/wp-content/uploads/2023/06/CIG-6247-CIGWELD-PowerPacks-2023_TILE_WELDSKILL-180-ACDC.jpg,https://www.cigweld.com.au/wp-content/uploads/2021/07/PP180AA21_W.jpg,https://www.cigweld.com.au/wp-content/uploads/2020/09/CIG-180-205acdc_V1-scaled.jpg,https://www.cigweld.com.au/wp-content/uploads/2020/09/WS-180-ACDC-Contents-side-inlet-v6-scaled.jpg,https://www.cigweld.com.au/wp-content/uploads/2020/09/WS-180-ACDC-Facing-Left-v4-scaled.jpg,https://www.cigweld.com.au/wp-content/uploads/2022/05/454304-left-768x768trans.png,https://www.cigweld.com.au/wp-content/uploads/2021/07/s-l500.jpg,https://www.cigweld.com.au/wp-content/uploads/2021/07/Tig-Gloves-1.png,https://www.cigweld.com.au/wp-content/uploads/2021/07/3t-Tungsten-2pack.jpg,https://www.cigweld.com.au/wp-content/uploads/2021/07/WS-TIG-70S-6-1.png,https://www.cigweld.com.au/wp-content/uploads/2021/07/WS-TIG-316_L-1.png,https://www.cigweld.com.au/wp-content/uploads/2021/07/WS-TIG-5356-2.png","<div class=""typography"">
	<section class=""wpb-content-wrapper""><div class=""vc_row wpb_row vc_row-fluid""><div class=""wpb_column vc_column_container vc_col-sm-12""><div class=""vc_column-inner""><div class=""wpb_wrapper"">
	<div class=""wpb_text_column wpb_content_element "">
		<div class=""wpb_wrapper"">
			<h3></h3>
<h3 style=""text-align: center;""><strong>Only at Participating Distributors while stocks last. Please note this cannot be purchased through this website.</strong></h3>
<p>The CIGWELD <strong>WeldSkill 180 AC/DC</strong> is a compact and light weight 12kg TIG Inverter that has the added flexibility and portability of a 10 Amp plug to maneuver easily around your workshop.</p>
<p>This unit is specifically designed for the <em>budget-conscious user </em>who doesn’t want to sacrifice on quality or weld results. With its compact casing and IP23S rating the 180 AC/DC is ideal for indoor or outdoor use around the workshop and is easy to carry and manoeuvre into hard to reach places when doing light fabrication and maintenance of mild steels, stainless steels and aluminum.</p>
<p>In TIG mode the unit has all the features required to customise your welding preferences – High Frequency (HF), Up/Down Slope, Pre/Post<br>
Flow, 2T/4T Trigger Function, Spot Mode and Gas Purge for AC or DC TIG welding. When welding in AC only, Frequency and Wave Balance can be refined with impressive adjustability and when operating in Pulse Mode the user has full flexibility to adjust Frequency, Width and Peak Current.</p>
<p>In Stick mode the<strong> 180 AC/DC</strong> features VRD, Anti-Stick and Hot Start and can weld with up to 3.2mm electrodes. The CIGWELD <strong>WeldSkill 180 AC/DC</strong> comes as a complete kit with an 4m Remote Control TIG Torch, Argon Regulator/Flowmeter, 4m Electrode Holder and Work Clamp and a TIG Accessory Kit with tungstens, nozzles, collets etc. to get you up and welding in no time.</p>
<p>3 Year Warranty included</p>
<h4><strong>POWER PACK INCLUDES:</strong></h4>
<div class=""page"" title=""Page 3"">
<div class=""layoutArea"">
<div class=""column"">
<ul>
<li>WeldSkill 180 AC/DC Inverter Plant 240V/10A – W1008195</li>
<li>Welding Helmet Shade 4/9-13 AM-PayDay – WHAM1649</li>
<li>TIG Welding Gloves Kevlar Stitched – Large – 646754</li>
<li>WeldSkill 5356 1.6mm 900mm 1kg – WTA1016</li>
<li>WeldSkill 5356 2.4mm 900mm 1kg – WTA1024</li>
<li>WeldSkill 70S-6.1.6mm 900mm 1kg – WTM1016</li>
<li>WeldSkill 70S-6.2.4mm 900mm 1kg – WTM1024</li>
<li>WeldSkill 316L 1.6mm 900mm 1kg – WTS1016</li>
<li>WeldSkill 316L 2.4mm 900mm 1kg – WTS1024</li>
<li>3T Tungsten 1.6mm AC/DC Purple Pk = 2ea – 699859</li>
<li>3T Tungsten 2.4mm AC/DC Purple Pk = 2ea – 699860</li>
</ul>
</div>
</div>
</div>

		</div>
	</div>
</div></div></div></div>
</section></div>",,"<p><strong>Current Range</strong><br>10-180A (TIG Mode), 10-130A (STICK Mode)</p> <p><strong>Dimensions</strong><br>324H x 176W x 430D mm</p> <p><strong>Duty Cycle</strong><br>HF TIG: 180A @ 15%, 17.2V (40C, 10mins)<br>
STICK: 130A @ 15%, 25.2V (40C, 10mins)</p> <p><strong>Generator Requirement</strong><br>8kVA</p> <p><strong>Open Circuit Voltage</strong><br>(VRD On) &lt;35V, (VRD Off) 63V</p> <p><strong>Processes</strong><br>AC/DC HF TIG (GTAW), Stick (MMAW)</p> <p><strong>Supply Voltage</strong><br>240V, +/- 15%, 50/60Hz</p> <p><strong>Weight</strong><br>12kg (Power Source), 20.5kg (Package)</p> <p><strong>Supply Plug &amp; Lead</strong><br>10A</p> <p><strong>Protection Class</strong><br>IP23S</p> <p><strong>Standards</strong><br>AS 60974.1-2020 / IEC 60974-1</p>",Weldskill 180 AC/DC Brochure (https://www.cigweld.com.au/wp-content/uploads/2020/09/Weldskill-180-ACDC-Brochure_WEB.pdf);WeldSkill 180 AC/DC Operating Manual (https://www.cigweld.com.au/wp-content/uploads/2020/09/0-5594_AA-WS-180AC_DC-Op-Man.pdf),https://www.cigweld.com.au/product/weldskill-180-ac-dc-power-pack/
Work Clamp – Spring Loaded 250 AMP,KP301R,,https://www.cigweld.com.au/wp-content/uploads/2018/02/ProdPhoto_34_lg_KP301R.JPG.png,"<div class=""typography"">
	<ul>
<li>Spring loaded jaws</li>
<li>Brass jaws with copper braided shunt</li>
<li>Zinc plate steel construction</li>
<li>250 amp @ 60% duty cycle</li>
<li>M8 mounting stud</li>
<li>Jaws opening: Height 80mm, Depth 90mm</li>
<li>Suits up to 35mm2 welding cable</li>
</ul>
</div>",,,,https://www.cigweld.com.au/product/work-clamp-spring-loaded-250-amp/
Comweld Mild Steel – 1.6 / 2.4 / 3.2 mm,321334,,https://www.cigweld.com.au/wp-content/uploads/2018/02/generic-polybag-2.png,"<div class=""typography"">
	<p>Comweld Mild Steel is an uncoated mild steel filler rod suitable for the oxy-acetylene (fusion) fillet and butt welding of carbon steel and wrought iron.</p>
<p>Variations</p>
<p>	321334 – 1.6mm –  5kg</p>
<p>	322045 – 1.6mm – 1kg Pack</p>
<p>	321337 – 2.4mm –  5kg</p>
<p>	321339 – 3.2mm –  5kg</p>
<p>Black Annealed, Low Carbon Steel Rod for Oxy-Acetylene Welding</p>
<p>	Recommended for Gas Welding of Steels and Wrought Irons</p>
<p>	Not suitable for Gas Tungsten Arc Welding</p>
</div>",,"<p><strong>Applications</strong><br>Comweld Mild Steel is for oxy/acetylene (fusion) fillet, butt welding of carbon steel &amp; wrought iron.</p> <p><strong>Pack Type</strong><br>Packet</p> <p><strong>Pack Weight</strong><br>5kg = 1 Packet</p> <p><strong>Size</strong><br>1.6mm</p>",,https://www.cigweld.com.au/product/comweld-mild-steel-1-6-2-4-3-2-mm/
Comweld SBA Flux No2 – 200g / 500g,321840,,https://www.cigweld.com.au/wp-content/uploads/2018/02/C321850.jpg,"<div class=""typography"">
	<p>Comweld Silver Brazing Flux No.2 and Silver Brazing Alloys with a high silver content, produce excellent joints on carbon steel, stainless steel, nickel alloys and copper and brass.</p>
<p>321840 – 200g</p>
<p>321841 – 500g</p>
<p>For Silver Brazing of Carbon Steel, Stainless Steels &amp;; Dissimilar Metals</p>
<p>Highest Quality Flux</p>
<p>Used in a Paste Form</p>
</div>",,"<p><strong>Applications</strong><br>Carbon steel, stainless steel, nickel alloys and copper and brass.</p> <p><strong>Pack Type</strong><br>Jar</p> <p><strong>Pack Weight</strong><br>200g = 1 Jar</p>",,https://www.cigweld.com.au/product/comweld-sba-flux-no2-200g-500g/
Ferrocraft 21,611242,,"https://www.cigweld.com.au/wp-content/uploads/2018/02/Electrodes-014-KP-121223.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/Electrodes-012-KP-121223.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/Electrodes-013-KP-121223.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/Mild-Steel-Electrodes-Close-Up.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/Electrode-Outer-Carton.jpg","<div class=""typography"">
	<p>Ferrocraft 21 is a popular rutile type, medium iron powder electrode It offers many features including smooth stable AC / DC running on low O.C.V. welding machines, excellent fillet shapes in all welding positions (including vertical – down/up and overhead) and a higher electrode efficiency of 110%.</p>
<p><strong>Packaging Data</strong></p>
<p>611242 – 2.5mm – 5kg Pack</p>
<p>611243 – 3.2mm – 5kg Pack</p>
<p>611244 – 4.0mm – 5kg Pack</p>
<p>611245 – 5.0mm – 5kg Pack</p>
<p><strong>Features &amp; Benefits </strong></p>
<ul>
<li>Rutile Type, Medium Iron Powder Electrode</li>
<li>Excellent Operator Appeal</li>
<li>Versatile – All Positional Capabilities</li>
<li>Easy Striking – Hot or Cold</li>
<li>Ideal for Vertical Down Fillet Welding</li>
<li>Reliable Impact Toughness to -20</li>
</ul>
</div>",,"<p><strong>Classifications</strong><br>ISO AS/NZS 4855: B E4914 A U<br>
AWS/ASME-SFA A5.1: E7014</p> <p><strong>Applications</strong><br>Suitable for 'on site' repair, maintenance and fabrication jobs where the iron powder addition gives improved useability</p> <p><strong>Welding Positions </strong><br>All Positional </p> <p><strong>Typical All Weld Metal Analysis </strong><br>C: 0.06%<br>
Mn: 0.65% <br>
Si: 0.30%</p> <p><strong>Typical All Weld Mechanical Properties </strong><br>Yield Stress 430 MPa<br>
Tensile Strength 500 MPa<br>
Elongation 30%<br>
CVN Impact Values. 90J av @ -20°C</p>","FERROCRAFT 21_PDS (https://www.cigweld.com.au/wp-content/uploads/2018/02/FERROCRAFT-21_PDS.pdf);GP6012, Weldcraft, Satincraft 13, Ferrocraft 12XP, 21, 22- MSDS (https://www.cigweld.com.au/wp-content/uploads/2018/02/GP6012-Weldcraft-Satincraft-13-Ferrocraft-12XP-21-22-MSDS.pdf)",https://www.cigweld.com.au/product/ferrocraft-21-2-5-3-2-4-0-mm/
Ferrocraft 7016 – 3.2 / 4.0 mm,611743,,https://www.cigweld.com.au/wp-content/uploads/2018/03/welding_electrodes30-1-scaled.jpg,"<div class=""typography"">
	<p>Ferrocraft 7016 is a basic, hydrogen controlled electrode that deposits weld metal in the 550MPa class. It gives excellent operator appeal in all welding positions, except vertical-down and exhibits a smooth, penetrating arc with excellent bead appearance and shape.</p>
<p>5kg Variations</p>
<p>611743 – 3.2mm</p>
<p>611744 – 4.0mm</p>
<p>Fully Basic Hydrogen Controlled E4816 / E7016 Type Electrode</p>
<p>Excellent Operator Appeal in All Positions</p>
<p>Ideal for Fill and Capping Passes</p>
<p>Excellent Impact Toughness to -30</p>
</div>",,"<p><strong>Applications</strong><br>Include pressure vessel fabrication, bridge and ship building and equipment repair and maintenance work.</p> <p><strong>Pack Type</strong><br>Packet</p> <p><strong>Pack Weight</strong><br>5kg = 1 Packet</p> <p><strong>Processes</strong><br>MMAW</p> <p><strong>Size</strong><br>3.2mm</p>",,https://www.cigweld.com.au/product/ferrocraft-7016-3-2-4-0-mm/
Verticor 81Ni1 H4 – 1.2 / 1.6 / 2.0 mm,720550,,https://www.cigweld.com.au/wp-content/uploads/2018/03/bronze-spool.jpg,"<div class=""typography"">
	<p>Verti-Cor 81 Ni1 H4 is a higher strength Rutile type flux cored wire suitable for the all positional welding of medium to high strength steels using Argon 20-25% CO2 or CO2 shielding gases.</p>
<ul>
<li>720550 – 1.2mm – 15kg</li>
<li>720551 – 1.6mm – 15kg</li>
<li>720591 – 2.0mm – 15kg</li>
<li>720592 – 2.0mm – 25kg</li>
</ul>
<p> </p>
<ul>
<li>Higher strength, low alloy, Rutile type flux cored wire</li>
<li>Formulated for use with either Argon 20-25% CO2 or CO2 shielding gases</li>
<li>Outstanding operator appeal</li>
<li>Versatile all positional capabilities</li>
<li>Low fumes levels</li>
<li>Precision layer wound</li>
</ul>
</div>",,"<p><strong>Applications</strong><br>Include the under matching strength welding of Bisalloy 60, 70 &amp; 80.</p> <p><strong>Pack Type</strong><br>Spool</p> <p><strong>Pack Weight</strong><br>15kg = 1 Spool</p> <p><strong>Processes</strong><br>FCAW</p> <p><strong>Size</strong><br>1.2mm</p>",,https://www.cigweld.com.au/product/verticor-81ni1-h4-1-2-1-6-2-0-mm/
Autocraft 308LSi – 0.9 / 1.2 mm,721271,,https://www.cigweld.com.au/wp-content/uploads/2018/03/alluminium-spool.jpg,"<div class=""typography"">
	<p>Autocraft 308LSi is a premium quality, low carbon 20% Cr / 10% Ni stainless steel wire for the Gas Metal Arc Welding (GMAW) of a wide range of austenitic 18/8 type stainless steel pipes, plates, forgings and castings.</p>
<p>15kg Spools</p>
<ul>
<li>721271 – 0.9mm</li>
<li>721272 – 1.2mm</li>
</ul>
<p>Steel wire for the GMA welding of 304 and 304L type stainless steels</p>
</div>",,"<p><strong>Applications</strong><br>Recommended for the general welding of 301, 302, 321, 347, 409 and 444 type stainless steels and for the critical welding of 304 and 304L types in corrosion resistant and cryogenic applications</p> <p><strong>Pack Type</strong><br>Spool</p> <p><strong>Pack Weight</strong><br>15kg = 1 Spool</p> <p><strong>Processes</strong><br>GMAW</p> <p><strong>Size</strong><br>0.9mm</p>",,https://www.cigweld.com.au/product/autocraft-308lsi-0-9-1-2-mm/
"Nicore 55 – 1.2 mm, 6.8kg",0258070408,,https://www.cigweld.com.au/wp-content/uploads/2018/05/Nicore-55.jpg,"<div class=""typography"">
	<p>ESAB Nicore 55 is a composite flux cored wire depositing an Iron / Nickel weld metal for the welding and joining of cast iron materials.</p>
<p>The deposit, which is approximately 53% iron and 45% nickel, provides an excellent match for the coefficient of expansion exhibited by cast irons. Cracking is minimized because thermal stresses caused by the heat of welding are minimized.</p>
<p>The light slag is easily removed enhancing visual weld inspection. The fact that this is a continuous electrode will improve the operating factor and minimize unnecessary stops and starts. This electrode can replace covered electrodes such as AWS ENiFe-Cl or ENiFe-Cl-A. It may be used for repair welds or for joining various types of cast irons. Cast irons may be welded to steel and other ferrous and non-ferrous materials with this product.</p>
<p>The machinability of the weld deposit is comparable to the matching covered electrode. Substantial savings in weld metal deposition costs will be realized when replacing 55% nickel coated electrodes with Nicore 55. The deposition rate of this wire is more than twice that of a comparable coated electrode.</p>
<p>The efficiency (approximately 97%) compared to that of coated electrodes (56% assuming 3” stub loss) is substantially greater. These two factors result in substantial savings in weld metal deposition costs. Because of the high deposition rate, the travel rate is very fast, resulting in lower heat input which is advantageous in welding cast irons.</p>
<p>Also Recommended for the dissimilar joining of Cast Iron to Steels</p>
<ul>
<li>Alloy Type: Cast Iron</li>
<li>Welding Current: DC+</li>
</ul>
</div>",,<p><strong>Applications</strong><br>Include the repair of cracked or damaged castings and the filling of foundry defects.</p> <p><strong>Pack Type</strong><br>Spool</p>,,https://www.cigweld.com.au/product/esab-nicore-55-1-2-mm/
Stoody 850-O 1.2mm – 15kg,11945500,,https://www.cigweld.com.au/wp-content/uploads/2018/02/11423100-Stoody-1.jpg,"<div class=""typography"">
	<ul>
<li>Self Shielded (-O), Tubular Hardfacing Wire</li>
<li>Air Hardening, Crack Prone High Carbon, Martensitic Steel Deposit</li>
<li>Resistant to Severe Abrasion and Low Impact Loading</li>
<li>1.2mm size can be used for vertical surfacing by depositing overlapping horizontal stringer passes</li>
</ul>
</div>",,"<p><strong>Applications</strong><br>Include the hard surfacing of agricultural, mining and materials handling equipment including tynes, points, conveyor screws, dredge buckets, cane harvester cutters and elevators.</p> <p><strong>Pack Type</strong><br>Spool</p> <p><strong>Pack Weight</strong><br>15kg = 1 Spool</p> <p><strong>Processes</strong><br>HFAW</p> <p><strong>Size</strong><br>1.2mm</p>",,https://www.cigweld.com.au/product/stoody-850-o-1-2mm-15kg/
CutSkill DC Pointed – 12.7 x 305mm – 50 Rods,22082003C,,https://www.cigweld.com.au/wp-content/uploads/2018/02/pointedgouging-9.jpg,"<div class=""typography"">
	<p>Arcair Gouging Carbons as used for the efficient gouging, back gouging, plate edge preparation, touching up and removal of old or defective hardfacing and stainless steel weld deposits.</p>
<p>Standard all-purpose gouging electrode designed for your customers.</p>
<p>The controlled copper coating improves conductivity providing more efficient, cooler operation and helps maintain electrode diameter at the point of the arc.</p>
</div>",,<p><strong>Diameter (mm)</strong><br>12.7</p> <p><strong>Length</strong><br>305mm</p> <p><strong>Pack Type</strong><br>Packet / 50 Rods</p>,,https://www.cigweld.com.au/product/cutskill-dc-pointed-12-7-x-305mm-50-rods/
Rear Cover Lens WeldSkill Auto-Darkening Welding Helmet,454309,,https://www.cigweld.com.au/wp-content/uploads/2018/02/454309.png,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/rear-cover-lens-weldskill-auto-darkening-welding-helmet/
Welding Filter Glass – 108 x 51mm,453852,,https://www.cigweld.com.au/wp-content/uploads/2018/02/ProdPhoto_469_lg_Glass-Filter.JPG.png,"<div class=""typography"">
	<p>Welding filters are manufactured from the highest quality glass or polycarbonate to comply with the requirements of theAustralian/New Zealand and other national standards (eg. ANSI Z87.1 &amp; EN 169).All CIGWELD Glass Filter lenses are fully standards approved. If non-approved lenses are used with CIGWELD standards approved helmets it will void the standard mark approval and liability.</p>
<p>Ordering Information</p>
<p>	453852 – Shade 8</p>
<p>	453853 – Shade 9</p>
<p>	453854 – Shade 10</p>
<p>	453855 – Shade 11</p>
<p>	453856 – Shade 12</p>
<p>	453857 – Shade 13</p>
</div>",,<p><strong>Manufactured From</strong><br>Glass</p> <p><strong>Provides Protection Against</strong><br>Infra-red and ultra violet</p> <p><strong>Shade</strong><br>8</p> <p><strong>Standard</strong><br>AS/NZS 1338.1 Lic 493</p> <p><strong>Type of Lens</strong><br>Filter Lens</p> <p><strong>Viewing Area</strong><br>108 x 51mm</p>,,https://www.cigweld.com.au/product/welding-filter-glass-108-x-51mm/
WeldSkill Auto Darkening Helmet – Blue,454305,,"https://www.cigweld.com.au/wp-content/uploads/2018/02/454305-right.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/454305-left.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/454305-side.jpg,https://www.cigweld.com.au/wp-content/uploads/2018/02/454305-front.jpg","<div class=""typography"">
	<section class=""wpb-content-wrapper""><div class=""vc_row wpb_row vc_row-fluid""><div class=""wpb_column vc_column_container vc_col-sm-12""><div class=""vc_column-inner""><div class=""wpb_wrapper"">
	<div class=""wpb_text_column wpb_content_element "">
		<div class=""wpb_wrapper"">
			<p>CIGWELD WeldSkill Welding Helmets are specifically designed for the budget conscious welder and offer excellent comfort and performance. The WeldSkill Auto-Darkening helmet range is fitted with the latest auto-darkening shade lenses and is available in 3 models; one model with a fixed shade 11 lens and 2 other models with a variable shade 9-13 lens. The value for- money WeldSkill Auto-Darkening helmet range provides the personal eye protection required for a solid day’s welding with the latest safety features, comfort and performance.</p>
<ul>
<li>Auto-Darkening Filter Lens Shade 9-13</li>
<li>Variable Shade</li>
<li>Ultra View Lens</li>
<li>Adjustable Sensitivity and Delay Controls</li>
<li>Australian Standards Compliance</li>
<li>Medium Impact</li>
<li>Suitable for use with CIGWELD Magnification Lenses</li>
<li>Grinding and Welding Modes</li>
<li>2 Year Warranty</li>
</ul>

		</div>
	</div>
</div></div></div></div><div class=""vc_row wpb_row vc_row-fluid""><div class=""wpb_column vc_column_container vc_col-sm-12""><div class=""vc_column-inner""><div class=""wpb_wrapper"">
	<div class=""wpb_text_column wpb_content_element "">
		<div class=""wpb_wrapper"">
			<div id=""pr-reviews-horizontal-widget""></div>
<p><script>
  window.__productReviewCallbackQueue = window.__productReviewCallbackQueue || [];
  window.__productReviewCallbackQueue.push(function(ProductReview) {
    ProductReview.use('reviews-horizontal', {
      ""identificationDetails"": {
        ""type"": ""single"",
        ""strategy"": ""from-internal-entry-id"",
        ""identifier"": ""03de0ee5-e7e3-4a8b-acec-39888edf173a""
      },
      ""container"": ""#pr-reviews-horizontal-widget"",
      ""alias"": ""product-page-3-bottom""
    });
  });
</script></p>

		</div>
	</div>
</div></div></div></div>
</section></div>",,<p><strong>Filter Lens Dimensions</strong><br>110 x 90 x 9mm</p> <p><strong>On/Off Control</strong><br>Automatic</p> <p><strong>Operating Temperature</strong><br>-5C to 55C</p> <p><strong>Power Supplies</strong><br>Solar Cells/Battery Back Up</p> <p><strong>Reaction Time</strong><br>0.2ms</p> <p><strong>Sensors</strong><br>2 Optical Sensors</p> <p><strong>Shade</strong><br>Variable 9-13</p> <p><strong>Viewing Area Dimensions</strong><br>98 x 43mm</p> <p><strong>Weight</strong><br>530g</p>,Weldskill Helmet Manual (https://www.cigweld.com.au/wp-content/uploads/2019/02/Weldskill-Helmet-Manual.pdf),https://www.cigweld.com.au/product/weldskill-auto-darkening-helmet-blue/
ProLite Auto-Darkening Welding Helmet – Matrix 1.0,454344,,"https://www.cigweld.com.au/wp-content/uploads/2020/10/454344-Prolite-Matrix_IMG_2595-Right3QTR-scaled.jpg,https://www.cigweld.com.au/wp-content/uploads/2020/10/454344-Prolite-Matrix_IMG_2628_Left3QTR-scaled.jpg,https://www.cigweld.com.au/wp-content/uploads/2020/10/454344-Prolite_Matrix_IMG_2634_Side-scaled.jpg,https://www.cigweld.com.au/wp-content/uploads/2020/10/454344-Prolite-Matrix_IMG_2601_Front-scaled.jpg","<div class=""typography"">
	<p>Whether you’ve got your nose to the grindstone or you’re striking an arc, you can trust CIGWELD’s ProLite series of auto-darkening helmets to keep you focused. You’ve only got two eyes, so why take any chances with flash burns. With a ProLite welding helmet, you can work in comfort and safety wherever you are – thanks to state of the art auto-darkening technology. It’s all down to four sensors. Even at very low amperages, the helmet remains dark which makes it ideal for TIG work as well as more powerful stick and MIG jobs.</p>
<p>As with all CIGWELD products, our helmets have been designed to make your life easier. A simple switch allows you to choose between welding and grinding modes, so you’re not plunged into darkness the moment you pick up your grinder. There’s an optional magnification lens too, which slots in easily to make light work of more fiddly jobs. Best of all, the ProLite range is fully compliant with Australian standards – which means you’re buying from a brand you can trust.</p>
<h4>NOW WITH ULTRA VIEW!</h4>
<p>Ultra View True Colour Lens with Blue Light Filter allows the operator to see truer colour at their work piece while reducing the operator’s visual fatigue if concentrating on an arc all day.</p>
<ul>
<li>Complies to Australian Standards</li>
<li>AS/NZS 1337.1 &amp; AS/NZS 1338.1</li>
<li>4 Sensor Auto-Darkening Filter Lens</li>
<li>High Impact Rating</li>
<li>Low Amperage TIG Welding Rating</li>
<li>Magnification Lens Compatible</li>
<li>Replaceable Batteries</li>
<li>3 Years Limited Warranty</li>
</ul>
<p>Check out our full range of <a href=""https://www.cigweld.com.au/range/safety/helmets/"">adjustable shade auto-darkening welding helmets</a>!</p>
</div>",,<p><strong>Viewing Area Dimensions</strong><br>98 x 55 mm</p> <p><strong>Filter Lens Dimensions</strong><br>120 x 100 x 18 mm</p> <p><strong>On/Off Control</strong><br>Automatic</p> <p><strong>Operating Temperature</strong><br>-5C to 55C</p> <p><strong>Power Supplies</strong><br>Solar Cells/Battery Back Up</p> <p><strong>Reaction Time</strong><br>0.2ms</p> <p><strong>Sensors</strong><br>4 Optical Sensors</p> <p><strong>Shade</strong><br>Variable 9-13</p> <p><strong>Weight</strong><br>470g</p>,Prolite Helmet Manual (https://www.cigweld.com.au/wp-content/uploads/2022/06/Prolite-Helmet-Manual.pdf),https://www.cigweld.com.au/product/prolite-auto-darkening-welding-helmet-matrix-1-0/
Electrode air cutting,32-1310,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/electrode-air-cutting/
"Shield cup, standard",32-1325,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/shield-cup-standard/
Tip 200A,32-1323,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/tip-200a/
Tip 55A,32-1322,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/tip-55a/
Tip 70A,32-1321,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/tip-70a/
Tip 35A,32-1320,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/tip-35a/
Electrode air gouging,32-1504,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/electrode-air-gouging/
"Cool tube extension, gouging",32-1502,,,"<div class=""typography"">
	<p>CIGWELD stocks a wide range of quality welding and cutting equipment and accessories, unfortunately at this time we do not have any information on this product, if you would like to learn more about this product, please contact us directly on our customer service line: 1300 654 674</p>
</div>",,,,https://www.cigweld.com.au/product/cool-tube-extension-gouging/
